subid,gender,trial,run,choice_raw,offer_propoer,conds,RT,offer_recipt,choice,in_outgroup
9141,2,21,2,2,12,2,1.723,0,2,1
9141,2,22,2,4,12,4,2.019,0,3,2
9141,2,23,2,0,7,1,0.833,5,1,1
9141,2,24,2,0,9,2,1.016,3,1,1
9141,2,25,2,0,9,4,1.075,3,1,2
9141,2,26,2,0,7,3,0.905,5,1,2
9141,2,27,2,0,7,1,0.712,5,1,1
9141,2,28,2,0,6,3,1.4,6,1,2
9141,2,29,2,2,9,4,2.52,3,2,2
9141,2,30,2,0,9,2,1.111,3,1,1
9141,2,31,2,0,12,2,2.212,0,1,1
9141,2,32,2,4,12,4,2.044,0,3,2
9141,2,33,2,0,9,4,2.414,3,1,2
9141,2,34,2,2,9,4,1.837,3,2,2
9141,2,35,2,0,7,1,0.899,5,1,1
9141,2,36,2,0,7,3,1.242,5,1,2
9141,2,37,2,0,9,2,1.06,3,1,1
9141,2,38,2,2,6,3,2.071,6,2,2
9141,2,39,2,0,9,2,1.251,3,1,1
9141,2,40,2,0,6,1,0.735,6,1,1
9141,2,41,2,0,7,1,0.762,5,1,1
9141,2,42,2,2,7,3,2.038,5,2,2
9141,2,43,2,0,6,1,0.996,6,1,1
9141,2,44,2,2,7,3,1.479,5,2,2
9141,2,45,2,4,12,4,1.77,0,3,2
9141,2,46,2,0,6,1,0.652,6,1,1
9141,2,47,2,0,6,3,1.722,6,1,2
9141,2,48,2,2,9,4,1.876,3,2,2
9141,2,49,2,0,12,2,2.536,0,1,1
9141,2,50,2,0,9,2,0.925,3,1,1
9141,2,51,2,0,6,1,0.912,6,1,1
9141,2,52,2,0,7,1,0.909,5,1,1
9141,2,53,2,0,6,1,0.808,6,1,1
9141,2,54,2,0,12,2,1.309,0,1,1
9141,2,55,2,4,12,4,1.328,0,3,2
9141,2,56,2,0,6,3,1.283,6,1,2
9141,2,57,2,2,7,3,1.738,5,2,2
9141,2,58,2,0,9,2,1.097,3,1,1
9141,2,59,2,0,6,1,0.722,6,1,1
9141,2,60,2,0,12,2,1.004,0,1,1
9141,2,61,2,2,7,3,1.289,5,2,2
9141,2,62,2,2,9,4,1.403,3,2,2
9141,2,63,2,0,7,1,0.766,5,1,1
9141,2,64,2,0,12,2,1.006,0,1,1
9141,2,65,2,0,6,3,1.419,6,1,2
9141,2,66,2,2,7,3,1.287,5,2,2
9141,2,67,2,0,9,2,1.174,3,1,1
9141,2,68,2,0,6,3,0.914,6,1,2
9141,2,69,2,0,12,2,1.201,0,1,1
9141,2,70,2,0,6,3,1.054,6,1,2
9141,2,71,2,4,12,4,1.734,0,3,2
9141,2,72,2,0,7,1,0.752,5,1,1
9111,2,1,1,0,6,3,3.412,6,1,2
9111,2,2,1,0,6,1,2.309,6,1,1
9111,2,3,1,2,9,2,3.286,3,2,1
9111,2,4,1,6,12,4,2.065,0,4,2
9111,2,5,1,2,7,1,2.385,5,2,1
9111,2,6,1,2,9,4,1.313,3,2,2
9111,2,7,1,4,12,2,4.263,0,3,1
9111,2,8,1,4,12,4,1.12,0,3,2
9111,2,9,1,2,7,3,1.264,5,2,2
9111,2,10,1,2,9,4,1.24,3,2,2
9111,2,11,1,4,12,4,1.343,0,3,2
9111,2,12,1,2,9,2,1.565,3,2,1
9111,2,13,1,0,7,1,2.186,5,1,1
9111,2,14,1,4,12,4,1.428,0,3,2
9111,2,15,1,4,12,2,1.056,0,3,1
9111,2,16,1,0,7,3,1.872,5,1,2
9111,2,17,1,0,6,1,1.159,6,1,1
9111,2,18,1,2,9,4,2.837,3,2,2
9111,2,19,1,0,6,1,1.212,6,1,1
9111,2,20,1,0,6,3,0.873,6,1,2
9111,2,21,1,6,12,2,3.417,0,4,1
9111,2,22,1,6,12,4,2.226,0,4,2
9111,2,23,1,0,7,1,1.871,5,1,1
9111,2,24,1,2,9,2,2.807,3,2,1
9111,2,25,1,2,9,4,1.401,3,2,2
9111,2,26,1,0,7,3,1.688,5,1,2
9111,2,27,1,0,7,1,0.934,5,1,1
9111,2,28,1,0,6,3,0.919,6,1,2
9111,2,29,1,2,9,4,3.918,3,2,2
9111,2,30,1,2,9,2,1.933,3,2,1
9111,2,31,1,4,12,2,3.378,0,3,1
9111,2,32,1,4,12,4,1.698,0,3,2
9111,2,33,1,2,9,4,1.869,3,2,2
9111,2,34,1,2,9,4,1.699,3,2,2
9111,2,35,1,0,7,1,1.313,5,1,1
9111,2,36,1,0,7,3,0.841,5,1,2
9111,2,37,1,2,9,2,2.667,3,2,1
9111,2,38,1,0,6,3,1.006,6,1,2
9111,2,39,1,2,9,2,1.305,3,2,1
9111,2,40,1,0,6,1,0.942,6,1,1
9111,2,41,1,0,7,1,0.968,5,1,1
9111,2,42,1,0,7,3,0.78,5,1,2
9111,2,43,1,0,6,1,0.779,6,1,1
9111,2,44,1,0,7,3,0.838,5,1,2
9111,2,45,1,4,12,4,1.681,0,3,2
9111,2,46,1,0,6,1,0.93,6,1,1
9111,2,47,1,0,6,3,0.929,6,1,2
9111,2,48,1,2,9,4,2.988,3,2,2
9111,2,49,1,4,12,2,1.631,0,3,1
9111,2,50,1,2,9,2,2.915,3,2,1
9111,2,51,1,0,6,1,0.846,6,1,1
9111,2,52,1,0,7,1,1.267,5,1,1
9111,2,53,1,0,6,1,0.774,6,1,1
9111,2,54,1,4,12,2,1.147,0,3,1
9111,2,55,1,4,12,4,1.518,0,3,2
9111,2,56,1,0,6,3,0.891,6,1,2
9111,2,57,1,0,7,3,0.832,5,1,2
9111,2,58,1,2,9,2,4.112,3,2,1
9111,2,59,1,0,6,1,0.785,6,1,1
9111,2,60,1,4,12,2,1.29,0,3,1
9111,2,61,1,0,7,3,0.879,5,1,2
9111,2,62,1,2,9,4,3.433,3,2,2
9111,2,63,1,0,7,1,0.916,5,1,1
9111,2,64,1,4,12,2,1.516,0,3,1
9111,2,65,1,0,6,3,0.826,6,1,2
9111,2,66,1,0,7,3,0.813,5,1,2
9111,2,67,1,0,9,2,1.676,3,1,1
9111,2,68,1,0,6,3,0.777,6,1,2
9111,2,69,1,4,12,2,1.136,0,3,1
9111,2,70,1,0,6,3,0.86,6,1,2
9111,2,71,1,4,12,4,1.053,0,3,2
9111,2,72,1,0,7,1,0.862,5,1,1
9111,2,1,2,4,9,2,2.381,3,3,1
9111,2,2,2,0,7,3,0.859,5,1,2
9111,2,3,2,0,6,1,0.799,6,1,1
9111,2,4,2,4,12,2,1.578,0,3,1
9111,2,5,2,0,7,1,0.909,5,1,1
9111,2,6,2,0,6,1,0.798,6,1,1
9111,2,7,2,0,6,3,0.841,6,1,2
9111,2,8,2,4,12,2,1.063,0,3,1
9111,2,9,2,0,7,3,0.844,5,1,2
9111,2,10,2,2,9,4,2.056,3,2,2
9111,2,11,2,2,9,4,0.937,3,2,2
9111,2,12,2,2,9,2,1.123,3,2,1
9111,2,13,2,0,6,3,0.918,6,1,2
9111,2,14,2,4,12,4,1.006,0,3,2
9111,2,15,2,0,7,3,0.96,5,1,2
9111,2,16,2,0,7,3,0.689,5,1,2
9111,2,17,2,4,12,4,1.713,0,3,2
9111,2,18,2,0,7,1,0.941,5,1,1
9111,2,19,2,0,6,3,0.737,6,1,2
9111,2,20,2,4,12,2,0.963,0,3,1
9111,2,21,2,2,9,4,1.261,3,2,2
9111,2,22,2,4,12,2,0.894,0,3,1
9111,2,23,2,4,12,4,1.025,0,3,2
9111,2,24,2,2,9,2,2.05,3,2,1
9111,2,25,2,4,12,2,0.829,0,3,1
9111,2,26,2,0,6,1,0.906,6,1,1
9111,2,27,2,4,12,4,2.1,0,3,2
9111,2,28,2,4,12,2,1.377,0,3,1
9111,2,29,2,0,6,3,0.78,6,1,2
9111,2,30,2,0,6,1,0.73,6,1,1
9111,2,31,2,0,6,3,0.659,6,1,2
9111,2,32,2,4,9,4,1.111,3,3,2
9111,2,33,2,0,7,1,0.879,5,1,1
9111,2,34,2,4,9,4,1.029,3,3,2
9111,2,35,2,4,9,2,0.835,3,3,1
9111,2,36,2,4,12,4,0.958,0,3,2
9111,2,37,2,0,7,3,0.953,5,1,2
9111,2,38,2,2,9,4,1.497,3,2,2
9111,2,39,2,0,6,3,0.758,6,1,2
9111,2,40,2,0,7,3,0.868,5,1,2
9111,2,41,2,0,6,1,0.765,6,1,1
9111,2,42,2,4,12,2,1.436,0,3,1
9111,2,43,2,0,7,1,0.792,5,1,1
9111,2,44,2,4,12,4,1.407,0,3,2
9111,2,45,2,2,9,4,1.445,3,2,2
9111,2,46,2,0,7,1,0.712,5,1,1
9111,2,47,2,2,9,2,1.608,3,2,1
9111,2,48,2,2,9,2,2.469,3,2,1
9111,2,49,2,4,12,4,0.853,0,3,2
9111,2,50,2,0,6,1,0.788,6,1,1
9111,2,51,2,0,6,1,0.824,6,1,1
9111,2,52,2,2,9,2,1.271,3,2,1
