membership,split,note,Interaction_dACC,Interaction_rmPFC,rmPFC,dACC,dlPFC,PPC
2,1,outF,0.922649994,-5.700897977,-3.953883524,4.05520624,4.292555796,12.18029343
2,1,outF,15.70727527,-2.239942161,-2.528865845,14.57585507,17.33603457,23.48769789
2,1,outF,6.248130212,-2.54652362,-2.019218754,6.408986912,6.381908256,9.118235301
2,1,outF,13.60467402,-12.06171069,-9.312652374,12.21402937,7.491390699,8.656594083
2,1,outF,8.288034727,0.936187864,1.270665918,10.05967151,11.03845804,16.68854967
2,1,outF,12.2683165,8.61909971,8.104141684,12.66105417,10.30273477,20.11002094
2,1,outF,15.36435782,-1.797085195,-1.046452022,14.63443194,8.958341489,21.37330526
2,1,outF,8.752015859,-3.607878924,1.520975979,7.89477443,11.03253793,13.59282065
2,1,outF,11.25902128,-1.663538119,-0.601586078,8.885848067,19.82367551,26.20045116
2,1,outF,12.38898095,-0.864974244,0.216741179,10.48222576,11.94661898,22.80017444
2,1,outF,3.173522766,-6.003467886,-4.736609529,4.048951474,6.544804984,12.17686568
2,1,outF,-0.987019936,-2.82799635,-2.221033271,-0.641344635,3.13694981,0.796910068
2,1,outF,9.484676063,-1.324044071,0.133458335,9.420040553,11.31155894,20.77052675
2,1,outF,5.09949969,0.294555539,0.109674323,8.387668858,6.556223975,10.08458846
2,1,outF,9.573515568,-5.140439224,-4.812769793,10.7570242,9.586066383,20.97572271
2,1,outF,24.10834089,-7.847979146,-7.760429762,22.61631473,21.24388505,16.26072839
2,1,outF,11.37526626,-6.249023662,-4.492870101,11.26754844,17.02990476,11.85359686
2,1,outF,18.07270282,4.761183063,3.753221701,17.12256394,22.10612218,16.81947294
2,1,outF,13.13955008,-3.507452785,-1.874394002,16.30100172,12.56584464,21.53131911
2,1,outF,-4.170513409,-5.964370367,-4.561749151,-2.159450433,7.298491753,15.0889999
2,1,outF,2.131814902,-6.228535552,-6.630018175,2.013419681,7.024449837,5.444369666
2,2,outUF,3.388956987,-4.839576726,-4.299562168,3.931531391,9.191775853,12.23729318
2,2,outUF,12.51884432,-4.33781255,-2.938484294,12.95696855,16.35594812,25.96229168
2,2,outUF,2.674115041,-2.932434786,-3.996102248,2.722879695,9.662239839,7.847590043
2,2,outUF,19.03454079,-6.701387218,-4.118997482,18.43798661,13.66317093,15.43456851
2,2,outUF,-0.976260706,-0.93405384,-1.879417133,-1.288901308,0.109455387,0.92501237
2,2,outUF,12.86881454,0.081605079,0.146682261,12.15157283,9.982599107,21.8913818
2,2,outUF,11.68189022,-0.047314447,0.301033692,14.11833063,18.68975563,31.57187312
2,2,outUF,12.79494709,-4.932414866,-4.390497045,13.15024507,17.68247908,19.31453625
2,2,outUF,8.875725441,-15.95864366,-15.90033186,9.805193051,11.80202868,20.93281712
2,2,outUF,-1.497520125,-8.927606729,-8.800922531,-0.096000161,-2.316084062,1.511188024
2,2,outUF,9.053684498,5.330640057,3.239749453,8.09405034,6.249010745,7.635960523
2,2,outUF,6.925287162,-10.61141841,-9.166258029,9.179588165,4.023361862,8.083980931
2,2,outUF,13.85347571,-2.762888664,-2.080141024,12.25191391,9.345590438,12.4620859
2,2,outUF,6.443810259,0.507651162,-0.346895462,7.884556915,14.71162916,25.38325363
2,2,outUF,7.172196587,-5.615043488,-4.258792346,7.698400961,7.439534039,10.20117002
2,2,outUF,8.335242372,-5.892266731,-4.61856077,8.016002436,3.852616031,13.43366305
2,2,outUF,15.09681402,0.799854134,1.015173792,15.0801195,21.21427327,22.21073609
2,2,outUF,27.93921886,-8.373491407,-5.825214078,24.07900705,17.21483447,22.14069102
2,2,outUF,17.36162329,0.628520526,1.131096613,19.59793138,18.93356014,20.97244298
2,2,outUF,19.81815463,-0.940952313,0.254240972,18.6308839,10.16422733,18.62679568
2,2,outUF,18.82781287,-8.471583809,-6.823420092,18.1300216,14.92366114,10.19383408
2,2,outUF,9.523510839,2.075613856,2.987176833,9.428191457,6.822798659,8.745971494
2,2,outUF,-3.626831979,-8.845582767,-9.113890162,-2.602263812,-1.765623461,11.45827723
2,2,outUF,7.475943445,-6.714953861,-4.809390063,9.232417388,10.91323964,18.17814248
2,2,outUF,-0.533613536,-8.195143227,-6.503698415,1.291263804,7.741739792,16.6502766
2,2,outUF,14.10898419,-14.17102931,-15.05632974,14.1710282,22.10416488,33.16481905
2,2,outUF,2.365230546,-5.160751621,-4.808089519,7.408218667,7.87381704,11.84130865
2,2,outUF,4.308994752,-4.296161878,-5.2691284,6.955790909,6.543294517,9.324803712
2,2,outUF,25.24612139,2.738692155,1.746672527,23.03691851,22.21072503,22.76305416
2,2,outUF,0.054582018,-11.22948018,-7.97049299,3.227007233,9.57911949,13.38935848
2,2,outUF,5.24601745,-13.21769528,-11.21218728,4.403589708,20.19557103,18.85623997
2,2,outUF,3.141757927,1.850728829,1.503840423,4.0225045,5.22957317,8.692685678
2,2,outUF,21.9719606,-9.842351393,-7.975684849,24.09955001,17.87940161,23.4368972
2,2,outUF,13.77682991,-3.70251211,-4.655958282,12.84947068,16.31855987,18.54985877
2,2,outUF,6.942438647,-1.206616782,1.665470753,7.856227473,3.112031567,14.17531954
2,2,outUF,3.527031413,-1.620312764,-1.937074372,4.641079091,6.868986305,9.051534523
2,2,outUF,7.296840643,0.533570896,0.367229457,10.01076978,10.04117982,19.3621636
2,2,outUF,14.54503419,-8.012725159,-6.594361131,13.24969399,18.46921309,21.65557456
2,2,outUF,10.15569189,1.506951925,2.059162073,10.84363549,14.23616989,17.58753465
2,2,outUF,14.83675567,-8.329063518,-6.878002624,13.22070014,5.968055853,7.523541877
2,2,outUF,2.990397202,-12.01481649,-15.44919946,3.878881206,7.205643984,12.86127244
2,2,outUF,4.647315579,-3.249394037,-3.488480614,3.842659299,4.123277144,8.456329013
2,2,outUF,15.98582353,-1.596726214,-1.181772457,15.79566254,11.20546923,23.10806929
2,2,outUF,9.502118368,2.313916688,5.208366154,9.582920034,7.877448051,15.24346428
2,2,outUF,7.135645981,-4.861092317,-1.79674236,6.588447674,17.03404678,26.14943579
2,2,outUF,15.68507413,4.454133435,4.792434251,13.02711399,17.78649278,25.37036496
2,2,outUF,4.409210073,-7.119334234,-5.432238053,5.758332596,8.120281425,14.91945064
2,2,outUF,3.826860679,-2.720115396,-2.195398855,3.306770223,8.614176081,7.588922817
2,2,outUF,7.466078729,-4.15946402,-2.810616655,7.19955898,8.462313486,22.79475102
2,2,outUF,9.340439217,2.461698673,1.842860312,13.94674409,8.840431214,11.46419614
2,2,outUF,14.38769501,-3.90091961,-1.638365434,17.89373601,14.40295937,25.6272211
2,2,outUF,33.32753449,-8.775720665,-8.159120717,31.24197884,27.22490276,22.66944688
2,2,outUF,14.50559887,-8.262132001,-5.83410039,14.30817653,18.60223769,9.571297696
2,2,outUF,10.16265979,-3.477993418,-3.742321647,9.009017106,14.4795686,10.45206553
2,2,outUF,12.20523554,-9.384730892,-8.577795335,16.43721836,12.68396442,24.46225963
2,2,outUF,-5.829667061,-14.36861785,-12.32842982,-3.267048305,6.951810458,15.47794325
2,2,outUF,4.562325421,-7.655095821,-6.202913472,4.147246571,13.92989428,10.18411721
